date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:27:56	82498/82498	---M--	200	added ('OK')	image/png	etag:%2214242-57551188bfed4%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/images/pv.png	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/images/pv.png	(from http://goblinslayer.jp/)
00:27:56	1296/1296	---M--	200	added ('OK')	application/javascript	etag:%22510-5791a5cb18297%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/common/js/scripts.js	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/common/js/scripts.js	(from http://goblinslayer.jp/)
00:28:00	19359/19359	---M--	200	added ('OK')	application/javascript	etag:%224b9f-577869ddb04cf%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/common/js/jquery.bxslider.min.js	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/common/js/jquery.bxslider.min.js	(from http://goblinslayer.jp/)
00:28:00	1403/1403	---M--	200	added ('OK')	application/javascript	etag:%2257b-57cde91490911%22	http://goblinslayer.jp/wp-includes/js/wp-embed.min.js?ver=4.9.10	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-includes/js/wp-embed.min8e83.js	(from http://goblinslayer.jp/)
00:28:01	95962/95962	---M--	200	added ('OK')	application/javascript	etag:%22176da-57551185d2e7b%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/common/js/jquery-1.11.3.min.js	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/common/js/jquery-1.11.3.min.js	(from http://goblinslayer.jp/)
00:28:02	47982/47982	---M--	200	added ('OK')	application/javascript	etag:%22bb6e-5791a49ecdd49%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/common/js/modaal.js	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/common/js/modaal.js	(from http://goblinslayer.jp/)
00:28:20	258218/258218	---M--	200	added ('OK')	image/jpeg	etag:%223f0aa-584ba69d83a8a%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/images/sp/main-visual-sp02.jpg	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/images/sp/main-visual-sp02.jpg	(from http://goblinslayer.jp/)
00:28:48	172934/172934	---M--	200	added ('OK')	image/png	etag:%222a386-57551186010c2%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/images/bg-side-news.png	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/images/bg-side-news.png	(from http://goblinslayer.jp/wp-content/themes/goblinslayer/common/css/layout_20181010.css)
00:29:09	122886/122886	---M--	200	added ('OK')	image/png	etag:%221e006-5755118607a3a%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/images/bg-side-twitter.png	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/images/bg-side-twitter.png	(from http://goblinslayer.jp/wp-content/themes/goblinslayer/common/css/layout_20181010.css)
00:29:29	540616/540616	---M--	200	added ('OK')	image/png	etag:%2283fc8-57551188a744c%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/images/menu-bg.png	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/images/menu-bg.png	(from http://goblinslayer.jp/wp-content/themes/goblinslayer/common/css/layout_20181010.css)
00:31:25	1268480/1268480	---M--	200	added ('OK')	image/png	etag:%22135b00-57551186b5779%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/images/contbg.png	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/images/contbg.png	(from http://goblinslayer.jp/wp-content/themes/goblinslayer/common/css/layout_20181010.css)
00:31:31	1306461/1306461	---M--	200	added ('OK')	image/jpeg	etag:%2213ef5d-575511861455a%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/images/bg.jpg	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/images/bg.jpg	(from http://goblinslayer.jp/wp-content/themes/goblinslayer/common/css/layout_20181010.css)
